date,symbol,open,high,low,close,volume
2023-01-02,RELIANCE,2550.00,2580.50,2540.10,2575.30,4523100
2023-01-03,RELIANCE,2576.00,2595.80,2565.00,2590.20,3810200
2023-01-04,RELIANCE,2592.00,2610.00,2580.50,2600.15,4125600
2023-01-05,RELIANCE,2598.00,2605.30,2570.00,2578.40,3650800
2023-01-06,RELIANCE,2580.00,2612.70,2575.00,2608.90,4280100
2023-01-09,RELIANCE,2610.00,2635.00,2602.30,2628.50,5102300
2023-01-10,RELIANCE,2630.00,2645.20,2618.00,2635.70,3925400
2023-01-11,RELIANCE,2633.00,2642.00,2610.50,2618.30,3508200
2023-01-12,RELIANCE,2620.00,2650.80,2615.00,2645.60,4750600
2023-01-13,RELIANCE,2648.00,2665.40,2640.00,2655.20,3890100
2023-01-16,RELIANCE,2652.00,2660.00,2630.50,2638.80,3520400
2023-01-17,RELIANCE,2640.00,2672.30,2635.00,2668.50,4380200
2023-01-18,RELIANCE,2670.00,2685.10,2658.00,2678.40,3950800
2023-01-19,RELIANCE,2675.00,2680.00,2650.30,2658.70,3102500
2023-01-20,RELIANCE,2660.00,2690.50,2655.00,2685.30,4620100
2023-01-23,RELIANCE,2688.00,2710.20,2680.00,2705.60,5130400
2023-01-24,RELIANCE,2702.00,2715.00,2690.50,2698.30,3850200
2023-01-25,RELIANCE,2700.00,2720.80,2695.00,2715.40,4250600
2023-01-27,RELIANCE,2718.00,2730.50,2705.30,2722.10,3780100
2023-01-30,RELIANCE,2720.00,2725.00,2695.80,2702.50,3520800
2023-01-31,RELIANCE,2705.00,2740.30,2700.00,2735.20,4890200
2023-02-01,RELIANCE,2738.00,2755.60,2730.00,2750.40,5210500
2023-02-02,RELIANCE,2748.00,2760.00,2725.50,2732.80,3950100
2023-02-03,RELIANCE,2735.00,2745.30,2710.00,2718.60,3620400
2023-02-06,RELIANCE,2720.00,2758.80,2715.00,2752.30,4380200
2023-02-07,RELIANCE,2755.00,2770.50,2745.00,2765.10,4050600
2023-02-08,RELIANCE,2762.00,2775.00,2740.30,2748.50,3520800
2023-02-09,RELIANCE,2750.00,2780.20,2748.00,2778.60,4720100
2023-02-10,RELIANCE,2780.00,2795.40,2770.00,2790.30,3890400
2023-02-13,RELIANCE,2788.00,2800.00,2765.50,2772.80,3250200
